Fecha;Hilillos;Vadillo;Recueja;Cofin;Medialijo;Yasa Mala;Muga;Secano;El Soto
13/04/2005;;;;;;;;;
15/04/2005;0;0;0;0;0;0;;;0
18/04/2005;0;0;0;0;0;0;;;0
20/04/2005;0;0;0;0;0;0;;;0
22/04/2005;0;0;0;0;0;0;;;0
25/04/2005;1;1;1;0;0;0;;;0
27/04/2005;2;0;2;0;0;0;;;0
29/04/2005;4;0;1;0;0;5;;;1
02/05/2005;25;8;5;4;1;14;;;1
04/05/2005;18;4;7;16;3;9;;;6
06/05/2005;1;0;0;0;0;0;;;0
09/05/2005;28;6;11;21;3;10;;;4
11/05/2005;7;0;3;4;0;2;;;1
13/05/2005;3;1;0;2;0;5;7;8;0
16/05/2005;6;1;3;1;3;3;5;2;1
18/05/2005;2;0;0;0;0;0;0;0;0
20/05/2005;3;0;1;1;0;0;0;0;0
23/05/2005;5;0;5;1;1;2;4;0;0
25/05/2005;3;2;4;2;1;2;2;4;0
27/05/2005;4;3;4;3;0;0;4;11;1
30/05/2005;6;1;3;3;0;2;6;12;1
01/06/2005;2;2;1;1;0;3;0;0;0
03/06/2005;6;1;1;1;0;5;2;1;0
06/06/2005;10;0;1;2;0;5;3;1;0
10/06/2005;15;1;2;2;1;4;4;2;0
13/06/2005;4;5;2;0;2;7;4;11;0
15/06/2005;2;1;0;1;1;2;2;4;0
17/06/2005;2;1;0;0;0;1;3;2;0
20/06/2005;2;0;1;1;0;0;2;1;0
22/06/2005;3;1;1;0;0;0;3;2;0
24/06/2005;3;1;1;0;0;2;2;1;0
27/06/2005;4;1;1;1;0;2;1;1;0
29/06/2005;5;2;0;1;1;2;2;2;1
01/07/2005;3;1;0;0;0;1;2;1;0
04/07/2005;4;2;1;1;1;2;1;1;1
06/07/2005;3;0;0;1;0;0;2;1;0
08/07/2005;3;1;2;0;0;0;0;0;0
11/07/2005;6;2;2;1;0;5;4;4;0
13/07/2005;7;4;2;1;1;3;12;1;0
15/07/2005;5;6;3;2;0;3;18;1;1
18/07/2005;2;4;2;1;1;1;4;4;1
20/07/2005;7;1;2;3;0;1;1;3;0
22/07/2005;6;1;4;2;0;2;5;2;1
25/07/2005;7;2;2;2;0;1;7;2;0
27/07/2005;4;2;0;1;2;3;6;5;0
29/07/2005;5;3;1;2;3;2;8;7;1
01/08/2005;4;1;2;1;1;6;11;8;2
03/08/2005;1;3;10;2;1;5;6;6;0
05/08/2005;5;4;2;3;1;4;4;5;3
08/08/2005;7;5;3;2;0;2;5;8;3
10/08/2005;6;2;1;3;2;3;7;4;3
12/08/2005;10;3;2;2;1;1;4;7;4
15/08/2005;7;1;5;2;1;1;6;5;3
17/08/2005;2;6;2;4;0;1;5;4;2
19/08/2005;1;7;0;4;0;0;1;1;0
22/08/2005;0;1;0;3;0;1;2;0;1
24/08/2005;2;2;0;2;1;0;2;0;0
26/08/2005;1;4;1;4;0;0;1;1;1
29/08/2005;2;2;2;3;0;1;3;1;1
31/08/2005;1;3;1;5;0;0;4;1;0
02/09/2005;1;1;0;6;1;0;4;1;1
05/09/2005;1;4;0;4;3;1;3;1;1
07/09/2005;0;6;0;2;2;0;2;1;1
09/09/2005;1;1;0;1;1;0;1;1;0
12/09/2005;0;0;0;2;1;0;0;2;0
14/09/2005;1;1;1;0;1;0;1;1;0
16/09/2005;0;0;0;0;1;0;1;1;0
19/09/2005;0;0;0;0;0;0;0;0;0
21/09/2005;0;0;0;0;0;0;0;1;0
23/09/2005;0;0;0;0;0;0;0;0;0
26/09/2005;0;0;0;0;0;0;0;0;0
28/09/2005;0;0;0;0;0;0;0;0;0
30/09/2005;0;0;0;0;0;0;0;0;0
03/10/2005;0;0;0;0;0;0;0;0;0
05/10/2005;0;0;0;0;0;0;0;0;0
07/10/2005;0;0;0;0;0;0;0;0;0
10/10/2005;0;0;0;0;0;0;0;0;0
12/10/2005;0;0;0;0;0;0;0;0;0
14/10/2005;0;0;0;0;0;0;0;0;0
17/10/2005;0;0;0;0;0;0;0;0;0
19/10/2005;0;0;0;0;0;0;0;0;0
