Fecha;Hilillos;Vadillo;Recueja;Cofin;Medialijo;Muga;Secano
13/04/2007;0;0;0;0;0;0;0
16/04/2007;1;0;0;2;0;2;0
18/04/2007;0;0;0;0;0;0;0
20/04/2007;0;0;0;0;0;0;1
23/04/2007;0;0;0;0;0;2;2
25/04/2007;0;1;1;0;0;3;0
27/04/2007;3;1;0;2;0;1;0
30/04/2007;0;0;0;0;0;0;0
02/05/2007;0;0;0;0;0;0;0
04/05/2007;0;0;0;0;0;1;0
07/05/2007;0;0;0;0;0;0;1
09/05/2007;3;2;1;3;0;4;7
11/05/2007;1;3;2;2;1;6;1
14/05/2007;7;3;6;3;2;9;7
16/05/2007;0;0;0;0;0;3;0
18/05/2007;1;0;2;1;0;3;0
21/05/2007;0;1;4;2;2;1;1
23/05/2007;0;0;1;1;0;0;0
25/05/2007;0;0;0;1;0;0;0
28/05/2007;0;0;0;0;0;0;0
30/05/2007;0;0;0;0;0;0;1
01/06/2007;0;0;0;0;0;0;0
04/06/2007;0;0;0;0;0;3;2
06/06/2007;1;0;0;0;0;3;2
08/06/2007;0;2;1;0;0;6;2
11/06/2007;0;0;1;1;2;5;0
13/06/2007;0;0;0;1;1;1;0
15/06/2007;1;2;1;0;1;3;1
18/06/2007;2;3;2;0;0;4;2
20/06/2007;1;1;0;0;0;1;3
22/06/2007;0;0;0;0;0;0;0
25/06/2007;0;0;0;0;0;2;0
27/06/2007;0;0;1;1;0;0;0
29/06/2007;0;1;0;1;0;2;0
02/07/2007;1;0;1;1;0;1;1
04/07/2007;0;0;1;0;1;0;0
06/07/2007;0;0;0;0;0;1;0
09/07/2007;0;0;0;1;0;0;0
11/07/2007;0;0;0;0;0;0;0
13/07/2007;1;0;1;1;0;1;0
16/07/2007;0;2;0;2;1;1;0
18/07/2007;0;0;0;2;2;1;0
20/07/2007;1;1;0;0;0;3;1
23/07/2007;1;1;1;0;0;0;0
25/07/2007;0;0;1;0;0;1;0
27/07/2007;1;0;0;1;1;0;0
30/07/2007;0;1;1;0;0;1;0
01/08/2007;1;1;0;0;0;2;0
03/08/2007;0;0;0;0;0;0;0
06/08/2007;1;0;0;1;1;0;0
08/08/2007;0;0;0;1;1;0;0
10/08/2007;0;0;0;2;2;0;0
13/08/2007;1;1;1;0;0;0;0
15/08/2007;0;0;1;0;0;0;0
17/08/2007;0;1;0;1;1;0;0
20/08/2007;0;0;0;0;0;0;0
22/08/2007;0;1;0;0;0;0;0
24/08/2007;0;0;0;0;0;0;0
27/08/2007;0;0;0;2;0;0;0
29/08/2007;0;0;0;2;0;0;0
31/08/2007;1;1;0;5;1;0;1
03/09/2007;0;0;0;1;0;0;0
05/09/2007;0;0;0;2;0;0;0
07/09/2007;0;0;0;1;0;0;0
10/09/2007;0;0;0;2;0;1;0
12/09/2007;0;0;0;0;0;0;0
14/09/2007;0;1;0;0;0;0;0
17/09/2007;0;0;0;0;0;0;0
19/09/2007;0;0;0;0;0;0;0
21/09/2007;0;0;0;1;0;0;0
24/09/2007;0;0;0;0;0;0;0
26/09/2007;0;0;0;0;0;0;0
