Fecha;Hilillos;Vadillo;Recueja;Cofin;Medialijo;Campo Bajo;Muga;Secano
09/04/2008;0;0;0;0;0;0;0;0
11/04/2008;0;0;0;0;0;0;0;1
14/04/2008;0;0;0;0;0;0;0;0
16/04/2008;0;0;0;0;0;0;0;0
18/04/2008;0;0;0;0;0;0;0;0
21/04/2008;0;0;0;0;0;0;0;0
23/04/2008;0;0;0;0;0;0;0;1
25/04/2008;1;0;0;0;0;0;1;2
28/04/2008;1;1;0;0;0;0;0;7
30/04/2008;0;0;0;0;0;0;1;0
02/05/2008;1;0;0;0;0;0;0;3
05/05/2008;6;5;0;0;0;3;3;5
07/05/2008;0;0;0;0;0;0;0;1
09/05/2008;0;1;0;0;0;0;0;1
12/05/2008;0;0;0;0;0;0;0;0
14/05/2008;0;0;0;0;0;0;0;0
16/05/2008;0;0;0;0;0;0;0;0
19/05/2008;0;0;0;0;0;0;0;0
21/05/2008;0;0;0;0;0;0;0;1
23/05/2008;0;0;0;0;0;0;0;0
26/05/2008;0;0;0;0;0;0;0;0
28/05/2008;0;0;0;0;0;0;0;0
30/05/2008;0;0;0;0;0;0;0;0
02/06/2008;0;0;0;0;0;0;0;0
04/06/2008;0;0;0;0;0;0;0;0
06/06/2008;0;0;0;0;0;0;0;0
09/06/2008;0;0;0;1;3;0;0;0
11/06/2008;0;0;0;1;0;0;1;0
13/06/2008;0;0;0;0;0;0;0;0
16/06/2008;0;0;0;0;0;0;0;3
18/06/2008;0;1;0;0;0;0;0;0
20/06/2008;0;1;0;0;0;0;0;1
23/06/2008;0;0;0;0;0;1;0;0
25/06/2008;0;0;1;0;0;0;0;0
27/06/2008;0;0;1;0;0;0;0;0
30/06/2008;0;0;0;0;0;0;0;0
02/07/2008;0;0;0;0;0;0;0;0
04/07/2008;0;0;0;0;0;0;0;0
07/07/2008;0;0;0;0;0;0;0;1
09/07/2008;0;0;0;0;0;0;0;0
11/07/2008;0;0;0;0;0;0;0;1
14/07/2008;0;0;0;0;0;0;0;0
16/07/2008;0;0;0;0;0;0;0;0
18/07/2008;0;0;0;0;0;0;0;0
21/07/2008;0;0;0;0;0;0;0;0
23/07/2008;0;0;0;0;0;0;0;0
25/07/2008;0;0;0;1;0;0;0;1
28/07/2008;1;0;0;0;0;0;0;0
30/07/2008;1;0;0;0;0;0;1;1
01/08/2008;1;0;1;0;0;0;0;0
04/08/2008;0;0;0;0;0;0;0;0
06/08/2008;0;0;1;0;1;0;0;0
08/08/2008;1;0;1;1;0;1;0;1
11/08/2008;0;0;2;0;1;2;0;0
13/08/2008;0;0;3;0;0;1;0;0
15/08/2008;0;0;1;0;1;0;0;0
19/08/2008;0;0;0;1;0;0;0;0
20/08/2008;1;0;0;0;0;0;0;0
22/08/2008;1;0;1;0;0;0;0;0
25/08/2008;0;0;0;0;0;0;0;0
27/08/2008;0;0;1;0;0;0;0;0
29/08/2008;0;0;1;0;0;0;0;1
01/09/2008;0;0;0;0;0;0;0;0
03/09/2008;0;0;0;0;0;0;0;0
05/09/2008;0;0;1;0;0;0;0;0
08/09/2008;0;0;0;0;0;0;0;0
10/09/2008;0;0;0;0;0;0;0;0
12/09/2008;0;0;0;0;0;0;0;0
15/09/2008;0;0;0;0;0;0;0;0
17/09/2008;1;0;0;0;0;0;0;0
19/09/2008;1;0;0;0;0;0;0;0
22/09/2008;0;0;0;0;0;0;0;0
24/09/2008;0;0;0;0;0;0;0;0
26/09/2008;0;0;0;0;0;0;0;0
