Fecha;Hilillos;Recueja;Cofin;Medialijo;Campo Bajo;Muga;Secano
13/04/2011;0;0;0;0;;0;0
15/04/2011;0;0;0;0;;0;0
20/04/2011;0;0;0;0;;0;0
22/04/2011;0;0;0;0;0;0;0
27/04/2011;0;0;0;0;0;0;0
29/04/2011;0;0;0;0;0;0;1
02/05/2011;0;0;0;0;0;2;2
04/05/2011;0;0;0;0;0;1;1
06/05/2011;0;1;0;0;0;2;4
09/05/2011;0;1;0;0;0;1;3
11/05/2011;0;0;2;4;0;0;0
13/05/2011;0;0;0;2;0;2;0
16/05/2011;0;1;0;0;1;0;1
18/05/2011;1;0;0;0;1;0;0
20/05/2011;0;1;0;0;0;1;0
23/05/2011;0;1;1;1;0;0;1
25/05/2011;1;2;0;0;0;1;0
27/05/2011;0;3;1;2;0;1;0
03/05/2011;0;0;0;0;0;0;0
01/06/2011;0;1;0;0;0;0;0
03/06/2011;0;0;0;0;0;0;0
06/06/2011;1;0;0;0;0;1;0
08/06/2011;0;0;0;0;0;0;1
10/06/2011;0;0;1;1;0;0;0
13/06/2011;0;1;0;0;0;0;0
15/06/2011;0;0;0;0;0;1;0
17/06/2011;0;0;0;1;0;0;0
20/06/2011;0;0;0;0;0;0;1
22/06/2011;0;0;0;0;0;0;1
24/06/2011;0;2;0;0;0;0;1
27/06/2011;0;1;0;0;0;0;1
29/06/2011;1;0;0;0;0;0;0
01/07/2011;0;0;0;1;0;0;0
04/07/2011;0;0;1;2;0;0;0
06/07/2011;0;2;0;0;0;0;0
08/07/2011;0;0;0;0;0;0;0
11/07/2011;1;1;0;0;0;0;0
13/07/2011;1;0;2;1;0;0;0
15/07/2011;0;0;1;0;0;0;0
18/07/2011;0;0;2;2;1;0;0
20/07/2011;1;1;0;1;0;0;0
22/07/2011;0;0;1;1;0;0;0
25/07/2011;1;2;0;0;0;0;1
27/07/2011;0;1;0;0;0;0;0
29/07/2011;2;0;0;2;0;1;0
01/08/2011;1;2;1;1;0;0;1
03/08/2011;1;1;0;0;0;0;1
05/08/2011;0;2;0;1;0;1;0
08/08/2011;2;0;0;1;0;0;1
11/08/2011;0;1;0;0;1;0;0
12/08/2011;1;2;0;0;0;0;0
15/08/2011;1;0;0;1;0;1;1
17/08/2011;0;1;0;0;0;1;0
19/08/2011;0;1;0;1;0;0;0
22/08/2011;1;1;0;1;0;1;0
24/08/2011;1;0;0;0;0;0;0
26/08/2011;0;1;1;0;0;0;0
29/08/2011;0;0;0;0;0;0;0
31/08/2011;0;0;0;1;0;0;1
02/09/2011;0;0;0;0;0;0;0
05/09/2011;1;0;0;1;0;0;2
07/09/2011;0;0;0;0;0;0;0
09/09/2011;0;0;0;0;0;0;1
12/09/2011;0;0;0;0;0;0;0
14/09/2011;0;0;0;0;0;0;0
16/09/2011;0;0;0;0;0;0;0
19/09/2011;0;0;0;0;0;0;0
21/09/2011;0;0;0;0;0;0;0
23/09/2011;0;0;0;0;0;0;0
