Fecha;Hilillos;Cofin;Prueba;Medialijo
04/04/2012;0;0;0;0
06/04/2012;0;0;0;0
09/04/2012;0;0;0;0
11/04/2012;0;0;0;0
13/04/2012;0;0;0;0
16/04/2012;0;0;0;0
18/04/2012;0;0;0;0
20/04/2012;0;0;0;0
23/04/2012;0;0;0;0
25/04/2012;0;0;0;0
27/04/2012;0;0;0;0
02/05/2012;0;0;0;0
04/05/2012;0;0;0;1
07/05/2012;0;0;0;0
10/05/2012;0;0;2;0
11/05/2012;0;1;4;2
14/05/2012;0;3;3;1
16/05/2012;1;1;2;2
18/05/2012;0;1;2;0
21/05/2012;0;0;1;1
23/05/2012;1;0;3;2
25/05/2012;0;0;1;1
28/05/2012;0;0;2;0
30/05/2012;0;0;1;1
01/06/2012;0;0;2;0
04/06/2012;0;0;0;0
06/06/2012;0;0;0;1
08/06/2012;0;0;0;2
11/06/2012;0;0;0;0
13/06/2012;0;1;0;0
15/06/2012;0;0;0;0
18/06/2012;0;0;0;0
20/06/2012;0;0;0;0
22/06/2012;0;0;0;1
25/06/2012;1;0;0;1
27/06/2012;0;0;0;2
29/06/2012;0;0;0;0
02/07/2012;0;0;0;1
04/07/2012;1;2;0;5
06/07/2012;0;0;0;0
09/07/2012;0;0;0;0
11/07/2012;0;0;0;3
13/07/2012;0;0;0;1
16/07/2012;0;0;0;2
18/07/2012;0;0;0;1
20/07/2012;0;0;0;0
23/07/2012;0;0;1;4
25/07/2012;1;1;0;3
27/07/2012;1;0;0;1
30/07/2012;0;1;0;0
01/08/2012;0;0;0;0
03/08/2012;0;0;0;0
06/08/2012;0;0;0;0
08/08/2012;0;0;0;0
10/08/2012;0;0;0;0
13/08/2012;0;0;0;0
15/08/2012;0;0;0;0
17/08/2012;0;1;1;0
20/08/2012;2;0;0;1
22/08/2012;0;1;1;0
24/08/2012;0;1;1;1
27/08/2012;1;1;0;0
29/08/2012;2;0;0;0
31/08/2012;0;0;0;1
03/09/2012;0;1;0;0
05/09/2012;0;0;0;0
07/09/2012;0;0;0;1
10/09/2012;0;0;0;0
12/09/2012;0;0;0;0
14/09/2012;0;0;0;0
17/09/2012;0;0;0;0
19/09/2012;0;0;0;0
21/09/2012;0;0;0;0
24/09/2012;0;0;0;0
26/09/2012;0;0;0;0
28/09/2012;0;0;0;0
