Fecha;Lardero;Tañida;Cofín;Vadillo;Medialijo;Hormilla
17/04/2013;;0;0;0;0;
19/04/2013;;0;0;0;0;
22/04/2013;;0;0;0;0;
24/04/2013;;0;0;0;0;
26/04/2013;;0;0;0;0;
29/04/2013;0;0;0;0;0;
01/05/2013;0;0;0;0;0;
03/05/2013;0;0;0;0;0;
06/05/2013;0;0;0;0;0;
08/05/2013;4;0;0;0;0;
10/05/2013;1;0;0;0;0;
13/05/2013;0;0;0;0;0;
15/05/2013;0;0;2;0;0;0
17/05/2013;0;0;1;0;1;
20/05/2013;0;0;0;0;0;
22/05/2013;0;0;0;0;1;0
24/05/2013;1;0;0;0;0;
27/05/2013;0;0;0;0;0;
29/05/2013;0;0;0;0;0;0
31/05/2013;1;0;0;0;0;
03/06/2013;0;0;0;0;0;
05/06/2013;1;0;0;0;0;1
07/06/2013;2;1;0;0;2;
10/06/2013;0;0;1;0;2;
12/06/2013;1;1;0;0;1;1
14/06/2013;0;1;1;0;3;
17/06/2013;;5;3;0;3;
19/06/2013;0;0;0;0;0;9
21/06/2013;0;1;1;0;0;
24/06/2013;;2;1;0;0;
26/06/2013;0;3;1;0;0;1
28/06/2013;0;9;9;0;0;
01/07/2013;;3;4;0;0;
03/07/2013;0;1;0;0;0;
05/07/2013;0;0;0;0;0;1
08/07/2013;;1;0;0;1;
10/07/2013;1;4;3;0;1;
12/07/2013;0;6;5;0;0;4
15/07/2013;1;9;10;0;1;
17/07/2013;;7;3;0;0;
19/07/2013;1;4;2;0;0;0
22/07/2013;;5;0;1;2;
24/07/2013;0;1;2;0;2;
26/07/2013;0;0;0;0;0;0
29/07/2013;;2;0;0;0;
31/07/2013;1;1;2;0;0;1
02/08/2013;0;1;0;0;0;
05/08/2013;;;;;;
07/08/2013;0;;;;;0
09/08/2013;2;1;0;0;2;
12/08/2013;;0;0;0;0;
14/08/2013;0;0;0;0;1;1
16/08/2013;0;1;0;0;0;
19/08/2013;;0;0;0;0;
21/08/2013;;0;0;1;0;0
23/08/2013;0;0;0;0;0;
26/08/2013;0;0;0;0;0;
28/08/2013;;1;0;0;0;0
30/08/2013;;0;0;0;0;
02/09/2013;0;0;0;0;0;0
04/09/2013;;0;0;0;0;
06/09/2013;;0;0;0;0;
09/09/2013;0;0;0;0;0;0
11/09/2013;0;0;0;0;0;
13/09/2013;;0;0;0;0;0
16/09/2013;;0;0;0;0;
18/09/2013;0;0;0;0;0;
20/09/2013;;0;0;0;0;0
23/09/2013;;0;0;0;0;
