Fecha;Lardero;Entrena;Hormilla;Tañida;Depositos;Ontañón;Cofín abando;RIA Blanquilla;Recueja;Cofin Ad;Vadillo
07/04/2017;;;;0;0;0;0;;0;0;
10/04/2017;;;;0;0;0;0;;0;0;
12/04/2017;;;;0;0;0;0;0;0;0;0
14/04/2017;1;0;0;0;2;0;1;0;0;0;0
17/04/2017;;;;;;;;;;;
19/04/2017;0;0;0;0;4;1;2;1;0;0;3
21/04/2017;2;0;0;0;6;0;0;0;0;0;5
24/04/2017;0;0;0;0;3;0;0;0;0;0;4
26/04/2017;4;0;0;0;2;0;2;0;0;0;10
28/04/2017;0;0;0;0;3;0;4;0;0;0;5
01/05/2017;;;;;;;;;;;
03/05/2017;0;0;0;0;5;0;1;1;0;0;7
05/05/2017;0;0;0;0;4;0;0;0;0;0;4
08/05/2017;0;2;0;0;7;0;0;2;0;0;3
10/05/2017;0;0;1;0;4;0;1;1;0;0;10
12/05/2017;0;0;2;0;6;0;1;1;0;0;5
15/05/2017;0;0;1;0;3;0;1;2;0;0;4
17/05/2017;0;0;0;0;8;0;2;1;0;0;4
19/05/2017;0;0;0;0;7;0;2;3;0;1;7
22/05/2017;0;0;0;0;4;0;1;1;0;0;3
24/05/2017;0;0;0;0;6;0;3;3;0;0;4
26/05/2017;;;;0;5;0;1;0;0;0;2
29/05/2017;;;;0;4;0;2;0;0;1;1
31/05/2017;0;1;0;0;3;0;1;1;0;2;2
02/06/2017;;;;0;4;0;2;0;0;0;1
05/06/2017;;;;0;2;0;1;2;0;1;1
07/06/2017;;;;0;2;0;0;1;0;1;1
08/06/2017;0;0;0;0;4;0;0;0;0;2;0
12/06/2017;;;;0;2;0;0;2;0;2;0
14/06/2017;0;0;0;0;0;0;0;0;0;0;0
16/06/2017;0;0;;0;0;0;0;0;0;1;1
19/06/2017;0;0;;0;0;0;0;0;0;0;0
21/06/2017;0;0;0;0;0;0;0;0;0;0;0
23/06/2017;0;0;;0;0;0;0;0;0;0;0
26/06/2017;0;0;;1;2;0;2;0;0;0;3
28/06/2017;0;1;3;1;1;0;1;1;1;0;1
30/06/2017;0;0;;0;2;0;1;2;0;0;0
03/07/2017;0;0;;0;1;0;0;0;0;1;1
05/07/2017;0;0;0;0;0;0;0;0;0;0;0
07/07/2017;0;0;;0;1;0;1;1;0;0;0
10/07/2017;0;0;0;0;0;0;0;0;0;0;0
12/07/2017;2;1;;0;1;0;1;0;0;0;0
14/07/2017;1;2;;0;0;0;0;0;0;0;0
17/07/2017;0;1;;0;0;0;0;1;0;0;0
