Fecha;Lardero;Entrena;Hormilla;Nájera;Tañida;Depositos;Ontañón;Cofin Abandonado;RIA Blanquilla;Recueja;;Cofin Ad;Vadillo
25/04/2018;;;;;0;0;0;0;0;0;;0;0
27/04/2018;;;;;0;0;0;0;0;0;;0;0
30/04/2018;0;0;0;0;0;0;0;0;0;0;;0;0
02/05/2018;0;0;0;0;0;0;0;0;0;0;;0;0
04/05/2018;0;0;0;0;0;2;0;0;0;0;;0;1
07/05/2018;0;0;0;0;9;1;1;1;1;1;;1;1
09/05/2018;0;0;0;0;3;3;0;0;2;0;;2;6
11/05/2018;0;0;0;0;2;1;0;0;1;0;;1;2
14/05/2018;1;2;0;0;7;3;0;0;0;1;;2;7
16/05/2018;0;0;0;0;5;2;0;0;1;0;;1;2
18/05/2018;3;3;0;0;3;4;2;2;4;2;;2;4
21/05/2018;2;1;0;0;1;3;1;1;7;2;;3;3
23/05/2018;3;4;0;0;2;5;0;0;8;1;;4;3
25/05/2018;3;6;0;0;4;3;2;2;13;1;;3;2
28/05/2018;3;2;0;0;4;8;2;2;11;2;;4;5
30/05/2018;2;2;0;0;3;2;2;2;4;0;;2;1
01/06/2018;1;0;0;0;1;1;3;3;5;0;;1;0
04/06/2018;0;1;0;0;2;0;1;1;2;0;;0;2
06/06/2018;1;1;2;0;1;2;2;2;0;0;;3;0
08/06/2018;0;0;1;0;0;1;0;0;3;0;;1;0
11/06/2018;0;1;0;0;1;4;1;1;2;0;;2;1
13/06/2018;1;1;1;0;4;0;2;2;3;0;;0;0
15/06/2018;0;0;0;0;2;3;4;4;2;0;;1;2
18/06/2018;1;0;0;0;1;1;1;1;0;0;;3;0
20/06/2018;0;1;1;0;1;2;1;1;3;0;;2;0
22/06/2018;0;0;0;0;0;2;1;1;1;0;;1;0
25/06/2018;0;1;0;2;0;7;0;0;3;0;;0;1
27/06/2018;1;1;0;0;2;3;0;3;3;2;;1;1
29/06/2018;2;0;0;0;1;1;1;4;2;3;;0;0
02/07/2018;0;1;0;0;0;2;0;3;4;0;;0;1
04/07/2018;0;2;0;0;1;1;0;0;3;0;;0;0
06/07/2018;1;0;0;0;0;2;0;1;1;1;;0;0
09/07/2018;0;0;0;0;0;1;0;0;1;0;;0;0
11/07/2018;1;0;0;0;1;1;0;0;0;0;;0;0
13/07/2018;0;0;0;0;0;0;0;0;0;0;;0;0
16/07/2018;1;0;0;0;0;0;1;0;0;1;;3;0
18/07/2018;0;0;0;0;0;0;0;0;0;0;;2;0
20/07/2018;0;0;0;0;0;0;0;0;1;0;;0;0
23/07/2018;0;0;0;0;0;1;0;0;0;0;;0;0
25/07/2018;1;0;0;0;1;0;0;1;0;0;;1;1
27/07/2018;1;1;0;0;0;1;0;0;1;0;;0;0
30/07/2018;2;1;0;0;0;1;0;0;0;0;;1;0
01/08/2018;1;2;0;0;1;0;0;0;1;0;;0;0
03/08/2018;0;1;0;0;0;0;0;0;0;0;;0;0
06/08/2018;2;0;0;0;0;1;0;0;0;0;;1;0
08/08/2018;0;0;0;0;0;0;0;1;1;0;;0;0
10/08/2018;1;1;0;0;0;0;0;0;0;0;;0;0
13/08/2018;0;0;0;0;1;1;0;0;0;0;;1;0
15/08/2018;;;;;;;;;;;;;
17/08/2018;0;1;0;0;1;0;0;0;2;0;;1;1
20/08/2018;1;0;0;0;0;1;0;1;2;0;;0;0
22/08/2018;0;0;0;0;1;0;0;0;1;0;;0;0
24/08/2018;0;1;0;0;0;1;0;1;0;0;;0;1
27/08/2018;0;0;0;0;1;1;0;1;1;0;;0;1
29/08/2018;0;0;0;0;0;0;0;0;1;0;;0;0
31/08/2018;0;0;0;0;0;0;0;1;0;0;;0;0
03/09/2018;0;0;0;0;0;0;0;0;0;0;;0;0
05/09/2018;0;0;0;0;0;0;0;0;0;0;;0;0
07/09/2018;0;0;0;0;0;0;0;0;0;0;;0;0
10/09/2018;0;0;0;0;0;0;0;0;0;0;;0;0
12/09/2018;0;0;0;0;0;0;0;0;0;0;;0;0
14/09/2018;0;0;0;0;0;0;0;0;0;0;;0;0
17/09/2018;0;0;0;0;0;0;0;0;0;0;;0;0
19/09/2018;0;0;0;0;0;0;0;0;0;0;;0;0
21/09/2018;0;0;0;0;0;0;0;0;0;0;;0;0
24/09/2018;0;0;0;0;0;0;0;0;0;0;;0;0
26/09/2018;0;0;0;0;0;0;0;0;0;0;;0;0
28/09/2018;0;0;0;0;0;0;0;0;0;0;;0;0
