Fecha;Lardero;Entrena;Hormilla;Nájera;Tañida;Depositos;Sazar;Cofín abando;RIA Blanquilla;Recueja;San Juan;Cofin Ad;Vadillo
13/04/2022;;;;;0;0;0;0;0;0;0;0;0
15/04/2022;;;;;0;0;0;0;0;0;0;0;0
18/04/2022;;;;;0;0;0;0;0;0;0;0;0
20/04/2022;;;;;0;0;0;0;0;0;0;0;0
22/04/2022;0;0;;;0;0;0;0;0;0;0;0;0
25/04/2022;0;0;;;0;1;0;0;0;0;0;0;0
27/04/2022;0;0;;;0;1;0;0;0;0;0;0;0
29/04/2022;0;0;;;0;0;0;0;0;0;0;0;0
02/05/2022;0;0;;;0;0;0;0;0;0;2;0;0
04/05/2022;0;0;0;0;0;0;0;0;0;0;3;0;0
06/05/2022;1;0;0;0;0;0;0;0;0;0;1;0;0
09/05/2022;0;0;0;0;0;0;0;1;0;0;10;0;0
11/05/2022;1;0;0;0;1;0;1;0;2;0;8;0;0
13/05/2022;0;0;0;0;0;2;1;1;1;0;4;0;0
16/05/2022;3;1;0;0;2;2;1;1;0;0;6;0;0
18/05/2022;2;2;0;0;2;3;0;0;4;0;3;1;0
20/05/2022;3;1;0;0;3;2;0;1;3;0;1;2;0
23/05/2022;1;0;0;0;2;4;1;0;5;0;2;0;0
25/05/2022;1;1;0;0;0;3;0;0;0;0;0;0;0
27/05/2022;0;0;0;0;0;3;0;0;1;0;0;0;0
30/05/2022;0;0;0;1;0;4;0;0;0;0;0;0;0
01/06/2022;0;0;0;1;0;2;0;0;1;0;1;1;0
03/06/2022;0;0;0;1;0;0;0;1;0;0;0;0;0
06/06/2022;0;0;1;0;0;1;0;0;0;0;1;1;0
08/06/2022;0;0;0;0;0;1;0;1;0;0;0;0;0
10/06/2022;0;0;0;0;0;0;0;0;0;0;1;0;0
13/06/2022;0;0;0;1;0;1;0;0;0;0;0;0;0
15/06/2022;0;0;0;0;0;1;0;0;0;0;0;0;0
17/06/2022;0;0;0;0;0;2;0;0;0;0;0;0;1
20/06/2022;0;0;0;0;0;2;0;1;0;1;0;0;2
22/06/2022;0;0;0;0;0;0;0;0;0;0;0;0;0
24/06/2022;0;0;0;0;0;1;0;0;0;0;0;0;0
27/06/2022;0;0;0;0;0;0;0;0;0;0;0;0;0
29/06/2022;0;0;0;0;0;0;0;0;0;0;0;0;0
01/07/2022;1;0;0;0;0;1;0;0;0;0;1;0;0
04/07/2022;4;0;0;0;0;2;0;0;1;0;0;0;0
06/07/2022;3;0;0;0;0;1;1;0;0;0;0;2;0
08/07/2022;1;1;0;0;0;0;0;1;0;0;0;0;0
11/07/2022;3;1;0;0;0;0;0;0;1;0;0;0;0
13/07/2022;2;0;0;0;0;0;1;1;1;0;0;0;0
15/07/2022;1;0;0;0;0;0;0;1;1;0;0;0;0
18/07/2022;1;0;0;0;0;0;0;0;0;0;0;0;0
20/07/2022;0;0;0;0;0;0;0;0;0;0;0;0;0
22/07/2022;2;0;0;0;0;0;0;0;0;0;0;0;0
25/07/2022;3;0;2;1;0;0;0;0;0;0;0;0;0
27/07/2022;1;0;0;1;1;0;1;0;1;0;0;0;0
29/07/2022;2;0;1;1;1;1;0;0;1;0;0;0;0
01/08/2022;1;0;0;0;0;0;1;0;0;0;1;0;1
03/08/2022;0;0;0;0;0;1;1;0;1;0;0;0;0
05/08/2022;0;0;0;0;0;2;0;0;1;0;1;0;0
08/08/2022;0;0;0;0;0;1;0;0;0;0;0;0;0
10/08/2022;0;0;0;0;0;0;0;0;0;0;1;0;0
12/08/2022;0;0;0;0;0;1;0;0;0;0;1;0;0
15/08/2022;0;0;0;0;0;1;0;0;0;0;0;0;0
17/08/2022;0;0;0;0;0;0;0;0;0;0;1;0;0
19/08/2022;0;0;0;0;0;0;0;0;0;0;1;0;0
22/08/2022;0;0;0;0;0;0;0;0;0;0;1;0;0
24/08/2022;0;0;0;0;0;2;0;0;0;0;0;0;0
26/08/2022;0;0;0;0;0;0;0;0;0;0;0;0;0
29/08/2022;0;0;0;0;0;0;0;0;0;0;0;0;0
31/08/2022;0;0;0;0;0;0;0;0;0;0;0;0;0
02/09/2022;0;0;0;0;0;0;0;0;0;0;0;0;0
05/09/2022;0;0;0;0;0;0;0;0;0;0;0;0;0
07/09/2022;0;0;0;0;0;0;0;0;0;0;0;0;0
09/09/2022;0;0;0;0;0;0;0;0;0;0;0;0;0
12/09/2022;0;0;0;0;0;0;0;0;0;0;0;0;0
