Fecha;Lardero;Entrena;Hormilla;Azofra;Nájera;Tañida;Depositos;Sazar;Recueja;San Juan;Cofin Ad;Vadillo
21/04/2023;0;0;;;;0;0;0;0;0;0;0
24/04/2023;0;0;;;;0;0;0;0;0;0;0
26/04/2023;0;0;;;;0;4;0;0;0;0;0
27/04/2023;;;;;;0;0;1;0;0;0;0
28/04/2023;0;0;;;;0;0;2;0;0;0;0
02/05/2023;2;1;;;;0;0;;0;0;0;0
03/05/2023;0;0;;;;1;3;;0;0;0;0
04/05/2023;1;0;0;0;0;;;;;;;
05/05/2023;1;2;0;0;0;0;2;0;0;0;0;0
08/05/2023;1;0;0;0;0;0;2;0;0;0;0;1
10/05/2023;0;0;0;0;0;1;1;1;0;0;0;0
12/05/2023;0;0;0;0;0;0;0;1;0;0;0;0
15/05/2023;0;0;0;0;0;0;0;0;0;0;0;0
17/05/2023;0;0;0;0;0;0;0;0;0;0;0;0
19/05/2023;0;0;0;0;0;0;0;0;0;0;0;0
22/05/2023;0;0;0;0;0;0;0;0;0;0;0;0
24/05/2023;1;0;0;0;0;0;0;0;0;0;0;0
26/05/2023;0;0;0;0;0;0;3;0;0;0;0;0
29/05/2023;0;0;0;0;0;0;3;0;0;0;0;0
31/05/2023;0;0;0;1;0;1;1;0;0;0;0;2
02/06/2023;0;0;0;0;0;0;1;0;0;0;0;3
05/06/2023;0;1;0;0;0;0;2;0;0;0;0;1
07/06/2023;0;0;0;1;0;0;0;0;0;0;0;0
09/06/2023;0;0;0;1;0;0;0;0;0;0;0;0
12/06/2023;0;0;1;0;0;0;3;0;0;0;0;1
14/06/2023;0;0;0;1;0;0;0;0;0;0;0;0
16/06/2023;0;0;0;1;0;0;0;0;0;0;0;0
19/06/2023;0;0;0;0;0;0;1;0;0;0;0;0
21/06/2023;0;0;0;0;0;0;2;0;0;0;0;0
23/06/2023;0;0;0;0;0;0;2;0;0;0;0;0
26/06/2023;1;0;0;0;0;0;1;0;0;0;0;0
28/06/2023;0;0;0;0;0;0;0;0;0;0;0;0
30/06/2023;0;0;0;0;0;0;1;0;0;0;0;0
03/07/2023;0;0;0;0;0;0;2;0;0;0;0;0
05/07/2023;0;0;0;0;0;0;1;0;0;0;0;1
07/07/2023;0;0;0;0;0;0;1;0;0;0;0;1
10/07/2023;0;0;0;0;0;0;2;0;0;1;0;0
12/07/2023;0;0;0;0;0;1;2;0;0;0;0;1
14/07/2023;1;0;0;0;0;2;1;0;0;1;0;1
17/07/2023;0;0;0;0;0;1;4;0;0;2;1;0
19/07/2023;1;2;0;0;0;2;2;0;0;1;0;1
21/07/2023;3;1;0;0;0;1;1;0;0;0;1;0
24/07/2023;4;0;0;0;0;1;3;0;0;1;0;0
26/07/2023;1;0;0;0;0;0;0;0;0;0;0;0
28/07/2023;1;0;0;0;1;0;0;0;0;0;0;1
31/07/2023;1;0;0;0;1;0;1;0;0;0;0;2
02/08/2023;;0;0;0;1;0;0;0;0;0;0;1
04/08/2023;0;0;0;0;0;0;0;0;0;0;0;1
07/08/2023;0;0;0;0;0;0;0;0;0;0;0;0
09/08/2023;1;0;0;0;0;1;0;0;0;0;0;0
11/08/2023;0;0;0;0;0;3;2;0;0;0;0;3
14/08/2023;0;0;0;0;0;3;1;1;0;1;0;1
16/08/2023;0;0;0;0;1;4;1;0;0;1;2;2
18/08/2023;0;0;0;0;0;3;0;0;0;1;1;1
21/08/2023;0;0;0;0;0;2;0;0;0;0;1;0
23/08/2023;0;1;0;0;0;1;0;0;0;0;0;0
25/08/2023;0;0;0;0;0;1;0;0;0;0;0;0
28/08/2023;0;0;0;0;0;0;0;0;0;0;0;0
30/08/2023;0;0;0;0;0;0;0;0;0;0;1;0
01/09/2023;0;0;0;0;0;0;0;0;0;0;0;0
04/09/2023;0;0;0;0;0;0;0;0;0;0;1;0
06/09/2023;0;0;0;0;0;0;0;0;0;0;0;0
08/09/2023;0;0;0;0;0;0;0;0;0;0;0;0
11/09/2023;0;0;0;0;0;0;0;0;0;0;0;0
13/09/2023;0;0;0;0;0;0;0;0;0;0;0;0
15/09/2023;0;0;0;0;0;0;0;0;0;0;0;0
18/09/2023;0;0;0;0;0;0;0;0;0;0;0;0
20/09/2023;0;0;0;0;0;0;0;0;0;0;0;0
22/09/2023;0;0;0;0;0;0;0;0;0;0;0;0
25/09/2023;0;0;0;0;0;0;0;0;0;0;0;0
27/09/2023;0;0;0;0;0;0;0;0;0;0;0;0
29/09/2023;0;0;0;0;0;0;0;0;0;0;0;0
02/10/2023;0;0;0;0;0;0;0;0;0;0;0;0
