Fecha;Lardero;Entrena;Hormilla;Azofra;Nájera;Tañida;Depositos;Sazar;Cofín;RIA Blanquilla;Recueja;San Juan;Cofin Ad;Vadillo
17/04/2024;0;0;;;;0;0;0;0;0;0;0;0;0
19/04/2024;0;0;;;;0;1;0;1;0;0;0;0;0
22/04/2024;0;0;;;;0;1;0;1;0;0;0;0;3
24/04/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26/04/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;6
30/04/2024;0;0;0;0;0;1;6;0;0;0;0;0;0;6
03/05/2024;1;0;0;0;0;6;1;0;0;0;0;0;0;6
06/05/2024;0;1;0;0;0;1;2;0;1;0;0;0;0;7
08/05/2024;0;0;0;0;0;1;2;0;0;0;0;0;0;6
10/05/2024;3;2;0;0;0;0;4;0;0;0;0;0;0;5
13/05/2024;0;1;0;0;0;3;0;0;2;0;0;0;0;7
15/05/2024;0;0;0;0;0;2;0;0;3;0;0;0;0;8
17/05/2024;1;0;0;0;0;4;0;0;1;0;0;0;0;5
20/05/2024;0;0;0;0;2;2;2;0;1;0;0;0;0;11
22/05/2024;1;0;0;0;1;0;0;0;0;0;0;0;0;1
24/05/2024;0;0;0;1;0;0;0;0;0;0;0;0;0;0
27/05/2024;0;0;0;0;0;0;1;0;0;0;0;0;0;1
29/05/2024;0;0;0;0;0;1;0;0;0;0;0;0;0;2
31/05/2024;0;0;0;0;2;1;2;0;0;0;0;0;0;3
03/06/2024;0;0;0;0;0;2;2;0;1;0;0;0;0;4
05/06/2024;0;0;0;0;0;3;0;0;1;0;0;0;0;3
07/06/2024;0;1;0;0;0;0;0;0;0;0;0;0;0;0
10/06/2024;0;1;0;0;0;1;0;0;0;0;0;0;0;0
12/06/2024;0;2;0;0;0;2;0;0;0;0;0;0;0;1
14/06/2024;0;0;1;0;0;0;0;0;2;0;0;0;0;1
17/06/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19/06/2024;0;0;0;0;0;1;0;0;0;0;0;0;0;0
21/06/2024;0;0;0;0;0;2;0;0;0;0;0;0;0;0
24/06/2024;0;0;0;0;0;2;0;0;0;0;0;0;0;0
26/06/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28/06/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;2
01/07/2024;0;0;0;0;0;0;1;0;0;0;0;2;0;5
03/07/2024;0;0;0;0;0;0;1;0;0;0;0;0;0;3
05/07/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;2
08/07/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;4
10/07/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;5
12/07/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15/07/2024;0;0;0;0;0;0;0;0;0;0;0;0;1;1
17/07/2024;0;0;0;0;0;0;0;0;1;0;0;1;1;2
19/07/2024;0;0;0;0;0;0;0;0;0;0;0;0;1;0
22/07/2024;0;1;0;0;0;0;0;0;0;0;0;0;0;0
24/07/2024;2;0;0;0;0;0;0;0;1;1;0;1;0;3
26/07/2024;0;2;0;0;0;0;0;0;0;0;0;0;0;0
29/04/2024;2;0;0;0;0;0;0;0;0;0;0;1;0;0
31/07/2024;1;0;0;0;0;0;0;0;0;0;0;1;0;0
02/08/2024;0;1;0;0;0;0;0;1;0;0;0;0;0;1
05/08/2024;1;1;0;0;0;0;0;0;1;0;0;0;0;0
07/08/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;2
09/08/2024;1;0;0;0;0;1;1;0;0;0;0;0;0;1
12/08/2024;0;0;0;0;2;1;0;0;0;0;0;0;0;1
14/08/2024;0;0;1;1;1;0;1;0;0;0;0;0;0;0
16/08/2024;0;0;0;1;0;0;0;0;1;0;0;0;0;0
19/08/2024;1;0;0;0;0;0;0;0;1;0;0;0;0;0
21/08/2024;1;0;0;0;0;1;0;0;0;0;0;0;1;0
23/08/2024;0;0;0;0;0;1;0;0;0;0;0;0;0;0
26/08/2024;0;0;0;0;0;2;0;0;0;0;0;0;1;0
28/08/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/09/2024;0;0;0;0;0;1;0;0;0;0;0;0;0;0
04/09/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;1
06/09/2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09/09/2024;0;0;0;0;0;1;0;0;0;0;0;0;;0
11/09/2024;0;0;0;0;0;0;0;0;0;0;0;0;;1
13/09/2024;0;0;0;0;0;0;0;0;0;0;0;0;;1
16/09/2024;0;0;0;0;0;0;0;0;0;0;0;0;;0
18/09/2024;0;0;0;0;0;0;0;0;0;0;0;0;;0
20/09/2024;0;0;0;0;0;0;0;0;0;0;0;0;;0
