Estacion;fecha;TMax;TMed;TMin;TsMax;TsMed;TsMin;HrMax;Hrmed;HrMin;PAc;RgAc;VVMax;VVMed
520;20/04/2010;23.1;14.9;6.1;22.2;16.3;10.6;93;63;32;0.0;22.655;21.9;4.8
520;21/04/2010;22.5;15.0;5.3;19.4;-150.9;-108.9;95;67;42;0.2;18.125;35.3;6.6
520;22/04/2010;18.0;13.9;11.8;18.2;15.8;14.5;97;84;57;4.8;9.204;19.8;3.4
520;23/04/2010;20.4;14.3;8.3;21.0;16.6;13.8;97;76;44;0.0;21.868;26.1;4.7
520;24/04/2010;23.4;15.0;7.2;22.9;17.7;13.3;97;70;34;0.0;22.187;23.6;4.1
520;25/04/2010;24.9;16.4;10.1;25.0;19.4;14.4;86;65;36;0.0;26.236;30.0;6.0
520;26/04/2010;27.1;17.2;7.0;25.7;20.2;14.7;96;64;24;0.0;25.835;22.9;4.0
520;27/04/2010;28.0;18.7;9.4;26.7;21.4;16.3;90;52;14;0.0;26.611;25.4;4.2
520;28/04/2010;26.8;17.9;7.5;25.3;21.0;16.3;83;52;29;0.0;26.270;37.0;8.4
520;29/04/2010;25.1;16.2;10.4;24.2;20.4;17.3;94;67;38;5.2;18.113;28.9;6.4
520;30/04/2010;20.7;14.1;9.2;21.3;18.0;15.3;96;80;54;3.6;15.436;20.8;4.1
520;01/05/2010;15.8;12.0;9.7;17.3;15.7;14.2;97;84;57;1.6;10.001;22.9;5.9
520;02/05/2010;11.4;9.7;6.3;14.2;13.3;11.4;97;85;69;5.0;3.934;21.9;3.6
520;03/05/2010;8.6;6.4;4.1;11.4;10.2;8.3;96;86;73;5.0;6.061;35.6;9.5
520;04/05/2010;6.3;4.7;3.5;8.3;7.6;6.8;94;82;68;4.6;7.019;46.9;14.1
520;05/05/2010;8.8;6.3;4.6;8.0;7.1;6.4;91;75;58;0.4;4.026;34.2;10.4
520;06/05/2010;11.8;7.5;3.0;11.9;8.8;6.6;95;76;49;1.2;11.359;23.3;6.1
520;07/05/2010;10.7;6.6;0.5;11.5;8.9;5.7;99;89;69;3.6;8.301;11.3;2.2
520;08/05/2010;17.4;11.3;6.6;15.5;12.3;9.1;98;73;32;0.0;17.730;26.8;3.4
520;09/05/2010;18.4;12.9;7.2;17.6;14.0;11.1;97;77;46;5.6;16.475;34.6;4.4
520;10/05/2010;20.4;12.0;3.0;17.6;13.3;9.0;98;63;22;0.0;23.306;40.6;6.6
520;11/05/2010;16.8;10.6;4.5;16.6;12.6;9.7;96;74;41;3.0;14.489;22.6;5.1
520;12/05/2010;12.2;8.6;5.1;13.8;12.0;9.8;95;86;65;4.6;6.661;21.2;5.1
520;13/05/2010;7.3;5.2;2.7;10.4;9.1;8.0;97;90;81;14.0;5.401;18.3;4.5
520;14/05/2010;13.9;8.0;3.4;15.4;10.7;7.2;94;75;37;1.6;20.280;43.1;6.3
520;15/05/2010;13.6;9.1;6.0;14.6;11.4;8.6;87;70;48;0.4;22.651;43.1;11.3
520;16/05/2010;14.8;9.6;6.2;16.5;12.3;9.5;94;72;41;0.4;22.651;21.2;4.9
520;17/05/2010;18.4;11.8;6.0;18.8;14.2;9.8;89;65;41;0.0;26.252;31.8;4.2
520;18/05/2010;23.1;14.2;5.4;22.8;16.1;9.9;91;52;11;0.0;30.184;22.2;4.9
520;19/05/2010;19.8;12.4;5.0;23.4;17.1;11.5;88;65;41;0.0;30.153;26.8;6.7
520;20/05/2010;23.2;14.4;5.5;24.7;18.3;12.4;94;60;29;0.0;30.393;23.6;5.7
520;21/05/2010;27.3;17.3;6.9;27.0;20.2;13.7;91;56;22;0.0;30.625;18.7;4.2
520;22/05/2010;27.9;18.8;8.2;28.4;21.9;15.8;93;57;14;0.0;30.536;23.3;4.3
520;23/05/2010;27.1;19.3;9.4;27.9;22.6;17.3;95;57;30;0.0;29.377;40.6;9.0
520;24/05/2010;27.5;18.7;11.5;27.0;22.2;18.4;96;66;33;11.0;21.795;44.1;7.1
520;25/05/2010;26.7;18.6;12.1;26.3;21.3;17.6;98;67;23;0.2;26.077;33.5;5.0
520;26/05/2010;23.9;17.3;11.1;25.8;20.8;17.4;89;61;27;0.0;21.720;33.9;6.7
