idMunicipio;Municipio;Latitud;Longitud;Estacion
005;Albelda de Iregua;42.3652087121677;-2.4705590378;519
006;Alberite;42.4000988625693;-2.4096007466;519
007;Alcanadre;42.4042978479629;-2.1517406543;501
008;Aldeanueva de Ebro;42.2291365184681;-1.9095509798;502
011;Alfaro;42.159620809149;-1.82434230161;506
002;Agoncillo;42.4362228354874;-2.2788383532;501
019;Arrúbal;42.4285206632771;-2.2526572875;501
020;Ausejo;42.3524652340104;-2.1352270570;560
036;Calahorra;42.307869084608;-1.95261811526;517
046;Cenicero;42.4793401851368;-2.6450279797;507
059;Entrena;42.3957954781069;-2.5151438685;201
064;Fuenmayor;42.4748305758632;-2.5842047984;509
075;Hormilla;42.4540010101185;-2.7783462571;505
076;Hormilleja;42.4637573560773;-2.7294201043;523
079;Huércanos;42.4320364267258;-2.6675309918;507
084;Lardero;42.4140906991708;-2.4720644516;509
089;Logroño;42.4671213247137;-2.4454133612;509
099;Murillo de Río Leza;42.4074310816256;-2.3083786887;501
103;Nalda;42.3323129233651;-2.4880427984;519
102;Nájera;42.4244023325867;-2.7339858072;507
105;Navarrete;42.4281220151845;-2.5638104829;201
117;Pradejón;42.3268365766514;-2.0422523719;517
125;Rincón de Soto;42.2376951026978;-1.8476961887;508
129;San Asensio;42.5075007267059;-2.7403433215;523
154;Torremontalbo;42.4868363012607;-2.6973784481;507
160;Uruñuela;42.4557175258418;-2.6997529986;507
168;Villamediana de Iregua;41.9878300687755;-2.0591471883;509
